.custom|Own custom signatures
.psp|Paint Shop Pro Image File
.pst|Outlook (pst/wab/dbx)
.ptb|PowerTab
.ptf|Pro Tools session File
.pyc|Python Compiled Script
.pzf|GraphPrism 4
.pzh|Presto
.qbb|Quickbooks (qbb/qbw)
.qdf|Quicken
.qkt|Apple QuickTake 100
.qxd|QuarkXpress Document
.r3d|RED r3d camera
.ra|Real Audio
.raf|Raw Fujifilm picture
.rar|Rar archive
.raw|Contax picture RAW
.rdc|Rollei picture
.reg|Windows Registry
.res|Microsoft Visual Studio Resource file
.rfp|RoboForm
.riff|RIFF audio/video: wav, cdr, avi
.rlv|Revelation password
.rm|Real Audio
.rns|Reason Audio File
.rpm|RPM package
.rw2|Panasonic/Leica RAW
.rx2|Zotope RX 2, Audio Repair Software file
.save|Assassin's Creed II
.ses|Cool Edit/Adobe Audition session
.sgcta|Ciel
.shn|Shorten audio file
.sib|Sibelius
.sit|Mikron image
.skd|AutoSketch drawing
.skp|SketchUp
.sp3|Sisporto SP3/SPM
.spe|WinSpec bitmap image
.spf|ShadowProtect
.sav|SPSS (Statistical Package for the Social Sciences) saved data
.sqlite|SQLite
.sqm|Windows Live Messenger Log File
.stl|Stereolithography CAD (Binary format)
.sit|StuffIt Archive
.swf|Macromedia Flash (Compiled)
.tar|tar archive
.tax|Turbo Tax
.tib|Acronis True Image
.tif|Tag Image File Format and some raw file formats (pef/nef/dcr/sr2/cr2)
.TiVo|TiVo video record
.torrent|Torrent
.tph|Pro/ENGINEER ToolPath
.tpl|Adobe Tool Preset
.ts|MPEG transport stream (TS)
.ttf|TrueType Font
.tx?|Text files with header: rtf,xml,xhtml,mbox/imm,pm,ram,reg,sh,slk,stp,jad,url
.txt|Other text files: txt,html,asp,bat,C,jsp,perl,php,py/emlx... scripts
.tz|Timezone info
.v2i|v2i backup
.vault|McAfee Anti-Theft/FileVault
.vfb|FontLab
.vdi|Virtual desktop infrastructure 1.1
.veg|Sony Vegas
.vmdk|VMWare
.vmg|Nokia Text Message
.wallet|Armory bitcoin wallet
.wdp|JPEG XR
.wim|Windows imaging (WIM) image
.win|Opera preferences
.wks|Lotus 1-2-3
.wmf|Microsoft Windows Metafile
.wnk|Wink
.woff|Web Open Font Format
.wpb|OpenCanvas
.wpd|Corel Documents
.wtv|Windows Media Center TV
.wv|WavPack, Hybrid Lossless Wavefile Compressor
.x3f|Sigma/Foveon X3 raw picture
.xcf|Gimp XCF File
.xfi|XFI Electronic Fuel Injection Systems
.xfs|xfs structure
.xm|FastTrackerII Extended Module
.xsv|XBOX GTA San Andreas Save File
.xpt|Mozilla XPCOM Type Library
.xv|XV thumbnail image
.xz|xz Archive
.z2d|ZeroCad
.zip|zip archive including OpenOffice and MSOffice 2007
